acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time,label
0.01,1.0,0.0,-1.46,1.45,-1.36,-356.12,-92.28,-338.63,69446.0,y up
0.01,1.0,0.0,-1.39,1.5,-1.31,-368.46,-90.51,-347.18,69550.0,y up
0.01,1.0,0.0,-1.45,1.39,-1.34,-347.3,-86.96,-357.44,69655.0,y up
0.01,1.0,0.0,-1.43,1.45,-1.36,-361.41,-101.16,-340.34,69761.0,y up
0.01,1.0,0.0,-1.48,1.56,-1.43,-356.12,-81.63,-345.47,69865.0,y up
0.01,1.0,-0.0,-1.5,1.46,-1.39,-350.83,-83.41,-347.18,69971.0,y up
0.01,1.0,-0.0,-1.48,1.57,-1.4,-359.64,-85.18,-342.05,70075.0,y up
0.01,1.0,-0.0,-1.37,1.5,-1.36,-364.93,-86.96,-340.34,70180.0,y up
0.01,1.0,-0.0,-1.45,1.46,-1.39,-352.59,-81.63,-324.95,70284.0,y up
0.01,1.0,0.0,-1.39,1.54,-1.31,-356.12,-88.73,-342.05,70390.0,y up
0.01,1.0,0.0,-1.53,1.51,-1.34,-361.41,-94.06,-333.5,70494.0,y up
0.01,1.0,0.0,-1.39,1.45,-1.4,-364.93,-94.06,-347.18,70600.0,y up
0.01,1.0,-0.0,-1.45,1.5,-1.42,-368.46,-86.96,-347.18,70704.0,y up
0.01,1.0,0.0,-1.45,1.48,-1.42,-352.59,-88.73,-335.21,70810.0,y up
0.01,1.0,0.0,-1.45,1.54,-1.45,-352.59,-92.28,-342.05,70914.0,y up
0.02,-1.01,0.05,-1.48,1.46,-1.34,504.2,262.65,-314.68,81811.0,none
0.03,-1.01,0.04,-1.3,1.53,-1.42,511.26,252.0,-324.95,81917.0,y down
0.03,-1.01,0.05,-1.51,1.45,-1.45,498.92,246.68,-312.97,82021.0,y down
0.03,-1.01,0.04,-1.5,1.45,-1.42,493.63,237.81,-314.68,82127.0,y down
0.03,-1.01,0.05,-1.37,1.65,-1.34,497.15,237.81,-307.84,82231.0,y down
0.03,-1.01,0.04,-1.5,1.54,-1.37,495.39,246.68,-316.39,82337.0,y down
0.03,-1.01,0.05,-1.53,1.48,-1.37,509.49,253.78,-299.29,82441.0,y down
0.03,-1.01,0.05,-1.42,1.42,-1.36,504.2,241.35,-311.26,82546.0,y down
0.03,-1.01,0.04,-1.43,1.5,-1.31,490.1,244.9,-301.0,82651.0,y down
0.03,-1.01,0.04,-1.42,1.5,-1.34,493.63,241.35,-314.68,82753.0,y down
0.03,-1.01,0.04,-1.42,1.5,-1.34,497.15,244.9,-311.26,82855.0,y down
0.03,-1.01,0.04,-1.53,1.51,-1.39,500.68,237.81,-311.26,82961.0,y down
0.03,-1.01,0.05,-1.43,1.45,-1.37,505.97,260.88,-309.55,83065.0,y down
0.03,-1.01,0.04,-1.42,1.45,-1.43,495.39,236.03,-309.55,83171.0,y down
0.03,-1.01,0.04,-1.42,1.46,-1.34,507.73,237.81,-324.95,83275.0,y down
0.03,-1.01,0.04,-1.42,1.46,-1.37,500.68,234.26,-311.26,83381.0,y down
0.03,-1.0,0.04,-1.4,1.51,-1.36,497.15,234.26,-318.1,83485.0,y down
0.03,-1.01,0.04,-1.4,1.45,-1.33,507.73,234.26,-318.1,83590.0,y down
0.03,-1.0,0.05,-1.37,1.5,-1.45,504.2,248.45,-318.1,83694.0,y down
0.03,-1.01,0.04,-1.42,1.39,-1.34,495.39,236.03,-306.13,83800.0,y down
0.03,-1.01,0.04,-1.45,1.48,-1.36,497.15,252.0,-314.68,83904.0,y down
0.03,-1.01,0.05,-1.46,1.59,-1.39,504.2,237.81,-324.95,84009.0,y down
0.03,-1.01,0.05,-1.39,1.43,-1.33,507.73,252.0,-324.95,84115.0,y down
0.03,-1.01,0.05,-1.48,1.53,-1.33,497.15,248.45,-311.26,84219.0,y down
0.03,-1.01,0.04,-1.45,1.5,-1.46,495.39,236.03,-323.24,84325.0,y down
0.03,-1.0,0.04,-1.42,1.54,-1.36,488.34,246.68,-319.82,84428.0,y down
0.03,-1.01,0.05,-1.4,1.43,-1.33,505.97,250.23,-316.39,84535.0,y down
0.03,-1.01,0.04,-1.43,1.51,-1.31,486.58,252.0,-314.68,84638.0,y down
0.03,-1.01,0.04,-1.43,1.48,-1.31,518.31,248.45,-321.53,84744.0,y down
0.03,-1.01,0.05,-1.4,1.43,-1.37,497.15,244.9,-311.26,84848.0,y down
0.03,-1.01,0.04,-1.43,1.53,-1.39,484.81,239.58,-306.13,84954.0,y down
0.03,-1.01,0.05,-1.5,1.46,-1.28,486.58,237.81,-304.42,85058.0,y down
0.03,-1.01,0.04,-1.45,1.43,-1.3,498.92,246.68,-316.39,85164.0,y down
0.01,0.02,1.04,-1.33,1.36,-1.31,232.71,209.41,-23.94,105600.0,none
0.01,0.01,1.03,-1.63,1.45,-1.34,222.13,216.51,-20.52,105706.0,z up
0.01,0.02,1.03,-1.39,1.65,-1.3,223.9,225.38,-25.65,105810.0,z up
0.01,0.02,1.03,-1.46,1.43,-1.39,227.42,211.19,-18.81,105915.0,z up
0.01,0.02,1.03,-1.53,1.37,-1.34,232.71,216.51,-27.36,106019.0,z up
0.01,0.02,1.03,-1.43,1.48,-1.31,225.66,202.31,-41.05,106125.0,z up
0.01,0.02,1.03,-1.43,1.54,-1.33,227.42,207.64,-22.23,106229.0,z up
0.01,0.02,1.03,-1.42,1.37,-1.48,225.66,212.96,-27.36,106334.0,z up
0.01,0.02,1.03,-1.48,1.46,-1.48,230.95,193.44,-29.07,106440.0,z up
0.01,0.02,1.03,-1.34,1.57,-1.43,232.71,205.86,-20.52,106544.0,z up
0.02,0.02,1.03,-1.3,1.43,-1.36,232.71,220.06,-30.78,106650.0,z up
0.01,0.02,1.03,-1.4,1.46,-1.34,227.42,207.64,-25.65,106754.0,z up
0.01,0.02,1.03,-1.56,1.33,-1.34,222.13,216.51,-27.36,106859.0,z up
0.01,0.02,1.04,-1.45,1.36,-1.36,232.71,216.51,-17.1,106963.0,z up
0.01,0.02,1.04,-1.43,1.62,-1.27,222.13,205.86,-20.52,107069.0,z up
0.01,0.02,1.04,-1.39,1.27,-1.4,229.18,205.86,-20.52,107173.0,z up
0.01,0.02,1.04,-1.37,1.42,-1.5,236.24,202.31,-17.1,107279.0,z up
0.01,0.02,1.03,-1.39,1.59,-1.27,225.66,212.96,-23.94,107383.0,z up
0.01,0.02,1.03,-1.31,1.39,-1.31,232.71,202.31,-37.63,107489.0,z up
0.01,0.02,1.03,-1.53,1.33,-1.43,229.18,202.31,-17.1,107593.0,z up
0.01,0.02,1.04,-1.48,1.39,-1.39,223.9,207.64,-22.23,107698.0,z up
0.01,0.02,1.03,-1.45,1.31,-1.4,209.79,207.64,-15.39,107803.0,z up
0.01,0.02,1.03,-1.36,1.51,-1.28,223.9,204.09,-8.55,107907.0,z up
0.01,0.02,1.03,-1.33,1.66,-1.36,220.37,196.99,-22.23,108013.0,z up
0.01,0.02,1.03,-1.53,1.31,-1.34,227.42,214.73,-29.07,108117.0,z up
0.01,0.02,1.03,-1.48,1.51,-1.43,223.9,207.64,-8.55,108223.0,z up
0.01,0.02,1.03,-1.48,1.45,-1.34,238.0,204.09,-22.23,108327.0,z up
0.01,0.02,1.03,-1.46,1.45,-1.39,229.18,195.21,-20.52,108433.0,z up
0.01,0.02,1.04,-1.54,1.53,-1.31,232.71,212.96,-17.1,108537.0,z up
0.01,0.02,1.03,-1.42,1.37,-1.33,229.18,205.86,-30.78,108643.0,z up
0.01,0.02,1.03,-1.5,1.53,-1.3,229.18,216.51,-27.36,108747.0,z up
0.01,0.02,1.04,-1.43,1.54,-1.42,229.18,205.86,-27.36,108852.0,z up
0.01,0.01,1.03,-1.37,1.45,-1.33,239.76,212.96,-30.78,108956.0,z up
0.01,0.02,1.04,-1.4,1.37,-1.31,232.71,205.86,-13.68,109062.0,z up
0.01,0.02,1.03,-1.36,1.33,-1.34,229.18,212.96,-17.1,109167.0,z up
