acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time,sensor,dir
0.06,-0.13,-1.1,16.8,5.11,0.23,527.82,-34.72,784.51,11397976.0,gyro,
0.06,-0.13,-1.1,16.8,5.11,0.23,527.82,-34.72,784.51,11398909.0,gyro,
0.06,-0.13,-1.1,16.75,5.08,0.2,527.82,-34.72,784.51,11400446.0,gyro,
0.06,-0.13,-1.1,16.75,5.08,0.2,527.82,-34.72,784.51,11401387.0,gyro,
0.06,-0.13,-1.1,16.75,5.08,0.2,527.82,-34.72,784.51,11402319.0,gyro,
0.06,-0.13,-1.1,16.74,5.08,0.12,500.23,-21.93,789.8,11404170.0,gyro,
0.06,-0.13,-1.1,16.74,5.08,0.12,500.23,-21.93,789.8,11405117.0,gyro,
0.06,-0.13,-1.1,16.8,5.1,0.17,500.23,-21.93,789.8,11406663.0,gyro,
0.06,-0.13,-1.1,16.8,5.1,0.17,500.23,-21.93,789.8,11407604.0,gyro,
0.06,-0.13,-1.1,16.77,5.14,0.23,500.23,-21.93,789.8,11409160.0,gyro,
0.06,-0.13,-1.1,16.77,5.14,0.23,500.23,-21.93,789.8,11410105.0,gyro,
0.06,-0.13,-1.1,16.77,5.14,0.23,500.23,-21.93,789.8,11411047.0,gyro,
0.06,-0.13,-1.1,16.71,5.11,0.21,500.23,-21.93,789.8,11412605.0,gyro,
0.06,-0.13,-1.1,16.71,5.11,0.21,500.23,-21.93,789.8,11413543.0,gyro,
0.06,-0.13,-1.1,16.69,5.11,0.2,518.62,-36.55,803.91,11415386.0,gyro,
0.06,-0.13,-1.1,16.69,5.11,0.2,518.62,-36.55,803.91,11416325.0,gyro,
0.06,-0.13,-1.1,16.69,5.11,0.2,518.62,-36.55,803.91,11417267.0,gyro,
0.06,-0.13,-1.1,16.72,5.2,0.15,518.62,-36.55,803.91,11418813.0,gyro,
0.06,-0.13,-1.1,16.72,5.2,0.15,518.62,-36.55,803.91,11419758.0,gyro,
0.06,-0.13,-1.1,16.78,5.16,0.17,518.62,-36.55,803.91,11421294.0,gyro,
0.06,-0.13,-1.1,16.78,5.16,0.17,518.62,-36.55,803.91,11422242.0,gyro,
0.06,-0.13,-1.1,16.78,5.16,0.17,518.62,-36.55,803.91,11423187.0,gyro,
0.06,-0.13,-1.1,16.78,5.11,0.23,525.98,-29.24,779.23,11425031.0,gyro,
0.06,-0.13,-1.1,16.78,5.11,0.23,525.98,-29.24,779.23,11425982.0,gyro,
0.06,-0.13,-1.1,16.78,5.11,0.24,525.98,-29.24,779.23,11427530.0,gyro,
0.06,-0.13,-1.1,16.78,5.11,0.24,525.98,-29.24,779.23,11428473.0,gyro,
0.06,-0.13,-1.1,16.77,5.16,0.29,525.98,-29.24,779.23,11430033.0,gyro,
0.06,-0.13,-1.1,16.77,5.16,0.29,525.98,-29.24,779.23,11430972.0,gyro,
